"artist_name","album_release_date","album_release_year","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_ms","explicit","track_name","track_number","album_name","key_mode","popularity"
"Harry Styles","2022-05-20",2022,0.417,0.202,0,-10.976,0.0357,0.935,0,0.108,0.323,118.029,4,194543,FALSE,"Boyfriends",12,"Harry's House","C major",74
"ZAYN","2018-12-14",2018,0.628,0.476,2,-5.856,0.0496,0.201,0,0.0913,0.219,134.998,4,232520,TRUE,"Common",4,"Icarus Falls","D minor",55
"Liam Payne","2019-12-06",2019,0.499,0.634,0,-4.636,0.213,0.0829,6.29e-05,0.168,0.459,179.907,4,190562,FALSE,"Weekend",10,"LP1","C minor",39
"Harry Styles","2019-12-13",2019,0.535,0.521,0,-5.942,0.0272,0.000532,0.371,0.19,0.457,140.026,3,362653,FALSE,"She",8,"Fine Line","C major",74
"One Direction","2013-11-25",2013,0.549,0.868,2,-4.319,0.0614,0.0604,0,0.137,0.755,171.96,4,184666,FALSE,"Diana",3,"Midnight Memories (Deluxe)","D major",66
"Harry Styles","2019-12-13",2019,0.548,0.816,0,-4.209,0.0465,0.122,0,0.335,0.557,95.39,4,174000,FALSE,"Watermelon Sugar",2,"Fine Line","C major",89
"Harry Styles","2022-05-20",2022,0.507,0.294,2,-10,0.04,0.896,1.97e-05,0.0966,0.386,114.199,4,245964,FALSE,"Matilda",7,"Harry's House","D major",83
"One Direction","2012-11-12",2012,0.663,0.857,2,-2.16,0.0544,0.0542,0,0.144,0.931,126.039,4,200213,FALSE,"Live While We're Young",1,"Take Me Home (Expanded Edition)","D major",75
"Harry Styles","2019-12-13",2019,0.306,0.347,2,-8.5,0.0334,0.172,0.00013,0.0485,0.0511,120.996,4,377960,FALSE,"Fine Line",12,"Fine Line","D major",77
"ZAYN","2021-01-15",2021,0.624,0.671,7,-7.454,0.0895,0.243,0.014,0.119,0.302,96.892,4,163346,FALSE,"Vibez",4,"Nobody Is Listening","G major",51
"ZAYN","2018-12-14",2018,0.66,0.374,0,-10.769,0.0585,0.582,0.0724,0.099,0.159,98.012,4,198480,FALSE,"Stand Still",6,"Icarus Falls","C major",48
"One Direction","2012-05-25",2012,0.54,0.86,8,-2.424,0.0508,0.000478,0,0.214,0.585,127.927,4,203706,FALSE,"Another World",16,"Up All Night","G# major",54
"Louis Tomlinson","2022-11-11",2022,0.574,0.906,8,-4.482,0.122,0.000937,0.00596,0.0678,0.826,162.061,4,137973,FALSE,"Out Of My System",8,"Faith In The Future (Deluxe)","G# minor",65
"Louis Tomlinson","2022-11-11",2022,0.45,0.716,1,-3.598,0.0291,0.00119,0,0.131,0.306,81.987,4,232413,FALSE,"Chicago",6,"Faith In The Future (Deluxe)","C# major",65
"Louis Tomlinson","2022-11-11",2022,0.578,0.595,9,-5.725,0.0276,0.195,0,0.0992,0.504,92.002,4,210226,FALSE,"Holding On To Heartache",15,"Faith In The Future (Deluxe)","A major",64
"Louis Tomlinson","2020-01-31",2020,0.638,0.648,11,-5.873,0.0471,0.0973,0,0.122,0.508,118.993,4,223920,FALSE,"Defenceless",11,"Walls","B major",61
"ZAYN","2018-12-14",2018,0.748,0.627,7,-6.029,0.0639,0.131,0,0.0852,0.524,120.963,4,188490,FALSE,"Still Got Time (feat. PARTYNEXTDOOR)",28,"Icarus Falls","G major",51
"Louis Tomlinson","2020-01-31",2020,0.463,0.481,3,-6.691,0.0293,0.301,0,0.247,0.652,79.052,4,106466,FALSE,"Only the Brave",12,"Walls","D# major",60
"Niall Horan","2020-03-13",2020,0.626,0.795,1,-3.963,0.0451,0.0154,0,0.35,0.758,123.995,4,228767,FALSE,"Cross Your Mind",10,"Heartbreak Weather","C# major",56
"ZAYN","2018-12-14",2018,0.769,0.536,10,-7.635,0.373,0.343,0.000876,0.086,0.634,119.942,5,205573,TRUE,"You Wish You Knew",15,"Icarus Falls","A# minor",47
"One Direction","2014-11-17",2014,0.524,0.831,2,-4.174,0.036,0.00229,0,0.171,0.299,115.067,4,196053,FALSE,"Ready to Run",2,"FOUR (Deluxe)","D major",66
"One Direction","2012-11-12",2012,0.643,0.852,11,-3.763,0.0427,0.0112,0,0.0749,0.863,134.024,4,184000,FALSE,"Magic",19,"Take Me Home (Expanded Edition)","B major",65
"ZAYN","2018-12-14",2018,0.655,0.482,8,-5.978,0.0726,0.616,1.57e-05,0.314,0.274,99.59,4,193186,FALSE,"Natural",2,"Icarus Falls","G# major",50
"ZAYN","2016-03-25",2016,0.614,0.475,7,-8.642,0.0362,0.395,1.06e-06,0.265,0.422,99.968,4,212746,TRUE,"wRoNg (feat. Kehlani)",9,"Mind Of Mine (Deluxe Edition)","G minor",64
"ZAYN","2016-03-25",2016,0.618,0.645,1,-5.264,0.0434,0.0481,0,0.228,0.221,97.654,4,178693,FALSE,"TiO",14,"Mind Of Mine (Deluxe Edition)","C# minor",64
"Niall Horan","2017-10-20",2017,0.598,0.478,6,-11.304,0.0314,0.259,0.000321,0.0994,0.255,140.012,4,206362,FALSE,"Fire Away",9,"Flicker (Deluxe)","F# major",54
"Niall Horan","2020-03-13",2020,0.589,0.471,10,-4.908,0.0262,0.674,0,0.105,0.262,95.972,4,224585,FALSE,"Put A Little Love On Me",7,"Heartbreak Weather","A# major",71
"ZAYN","2018-12-14",2018,0.548,0.541,2,-6.684,0.0692,0.338,0,0.318,0.199,169.488,4,199906,FALSE,"If I Got You",9,"Icarus Falls","D major",49
"ZAYN","2016-03-25",2016,0.679,0.629,4,-7.981,0.0318,0.242,0.012,0.122,0.186,102.005,4,208920,FALSE,"BeFoUr",4,"Mind Of Mine (Deluxe Edition)","E minor",57
"Louis Tomlinson","2022-11-11",2022,0.468,0.835,4,-3.8,0.0501,0.00195,0,0.424,0.454,144.925,4,221440,FALSE,"Bigger Than Me",3,"Faith In The Future (Deluxe)","E major",63
"One Direction","2015-11-13",2015,0.579,0.779,4,-1.829,0.0512,0.0379,0,0.385,0.587,164.145,3,213440,FALSE,"Never Enough",8,"Made In The A.M. (Deluxe Edition)","E minor",62
"Niall Horan","2020-03-13",2020,0.443,0.582,2,-6.02,0.0482,0.0301,0,0.127,0.239,147.589,4,193089,FALSE,"Black And White",2,"Heartbreak Weather","D major",70
"ZAYN","2016-03-25",2016,0.479,0.425,0,-12.537,0.0994,0.833,0.000834,0.0935,0.162,85.203,4,245253,FALSE,"tRuTh",12,"Mind Of Mine (Deluxe Edition)","C major",49
"One Direction","2012-11-12",2012,0.536,0.488,7,-8.938,0.0244,0.0346,0,0.113,0.263,87.986,4,236853,FALSE,"Irresistible",20,"Take Me Home (Expanded Edition)","G major",59
